City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Coahuayana,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
155,Moerai,PF,72.09,light rain,-22.4333,-151.3333,Le Manotel
161,Kavieng,PG,81.48,clear sky,-2.5744,150.7967,Nusa Island Retreat
162,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
163,Morgantown,US,70.9,scattered clouds,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
165,Bida,NG,92.44,overcast clouds,9.0833,6.0167,Royal Suite
167,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
170,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Fórum
171,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
174,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
177,Cascais,PT,75.06,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
179,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
180,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
181,The Valley,AI,86.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
187,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
191,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
192,Moranbah,AU,70.86,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
197,Victoria,HK,76.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
198,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
202,Sur,OM,82.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
203,Buchanan,LR,80.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
211,Belmonte,BR,84.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
213,Malakal,SS,86.45,broken clouds,9.5334,31.6605,Nile Palace Hotel
216,Boende,CD,78.39,overcast clouds,-0.2167,20.8667,
219,Mier,MX,84.88,broken clouds,26.4333,-99.15,Mier 09
222,Conceicao Do Araguaia,BR,94.62,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
223,Auki,SB,76.6,broken clouds,-8.7676,160.7034,Auki Motel
225,Tautira,PF,73.42,light rain,-17.7333,-149.15,Pension Oaoa
227,Nabire,ID,75.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
228,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
230,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
234,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
236,Buraydah,SA,88.25,clear sky,26.326,43.975,فندق راحة السلام
237,Banda Aceh,ID,79.34,overcast clouds,5.5577,95.3222,Sulthan Hotel International
238,Rodas,CU,86.2,overcast clouds,22.3408,-80.5572,Hostal Casa Mario
241,Jinka,ET,71.92,overcast clouds,5.65,36.65,
244,Cayenne,GF,78.1,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
255,Paracuru,BR,87.82,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
262,Umm Lajj,SA,80.26,clear sky,25.0213,37.2685,Moon light Furnished Units
263,Rafaela,AR,91.06,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
271,Poum,NC,74.21,few clouds,-20.2333,164.0167,Gîte kajeon
273,Moron,AR,84.02,clear sky,-34.6534,-58.6198,Hotel Morón
274,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
277,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
281,Vao,NC,70.29,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
283,Oriximina,BR,94.73,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
284,Beloha,MG,75.2,broken clouds,-25.1667,45.05,
285,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
286,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
287,Sao Filipe,CV,79.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
288,Mackay,AU,76.68,overcast clouds,-21.15,149.2,International Lodge Motel
289,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
293,Cabedelo,BR,88.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
294,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
295,Sao Jose Da Coroa Grande,BR,84.02,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
299,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
300,Pineville,US,77.25,overcast clouds,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
301,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
305,Puerto Del Rosario,ES,78.48,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
306,Krabi,TH,86.99,scattered clouds,8.0726,98.9105,Tharapark View Hotel
307,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
309,Bull Savanna,JM,84.49,broken clouds,17.8868,-77.5902,Big Red's
313,Capitao Poco,BR,89.85,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
314,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
316,Ouro Preto Do Oeste,BR,73.69,moderate rain,-10.7481,-62.2158,Graúna Resort Hotel
