City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Lubumbashi,CD,-11.6609,27.4794,96.73,16,64,5.08,broken clouds
139,Honiara,SB,-9.4333,159.95,79.32,85,43,0.81,scattered clouds
140,Bethel,US,41.3712,-73.414,44.49,91,40,0.0,scattered clouds
141,Kidal,ML,18.4411,1.4078,98.38,19,16,3.87,few clouds
142,Rockingham,US,42.9668,-71.0995,42.55,80,1,8.75,clear sky
143,Iskateley,RU,67.6803,53.1512,25.21,88,64,7.58,broken clouds
144,Goderich,CA,43.7501,-81.7165,42.57,93,11,3.44,few clouds
145,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,75,14.97,broken clouds
146,Vardo,NO,70.3705,31.1107,32.2,60,78,20.29,broken clouds
147,Riberalta,BO,-10.9833,-66.1,79.0,89,87,6.91,overcast clouds
148,Vangaindrano,MG,-23.35,47.6,83.89,71,12,14.81,few clouds
149,Guerrero Negro,MX,27.9769,-114.0611,63.28,77,1,11.21,clear sky
150,Gorontalo,ID,0.5412,123.0595,77.31,88,95,2.17,overcast clouds
151,Marzuq,YE,14.4,46.4667,83.77,13,8,9.17,clear sky
152,Gimli,CA,50.6336,-96.9907,41.02,70,8,9.22,clear sky
153,Maneromango,TZ,-7.1988,38.7848,85.75,27,68,8.48,broken clouds
154,Kaitangata,NZ,-46.2817,169.8464,50.38,97,96,1.32,overcast clouds
155,Bintulu,MY,3.1667,113.0333,81.01,88,20,0.0,few clouds
156,Barranca,PE,-10.75,-77.7667,61.25,84,68,6.15,broken clouds
157,Whitecourt,CA,54.1502,-115.6855,35.67,99,100,1.79,overcast clouds
158,Jamestown,US,42.097,-79.2353,45.99,99,90,3.44,mist
159,Hambantota,LK,6.1241,81.1185,88.14,74,20,13.8,few clouds
160,Klaksvik,FO,62.2266,-6.589,50.92,92,93,22.46,overcast clouds
161,Anage,BR,-14.6122,-41.1356,79.99,69,92,6.2,overcast clouds
162,Cherskiy,RU,68.75,161.3,-9.11,99,93,5.64,overcast clouds
163,Grants,US,35.1473,-107.8514,41.23,70,1,0.0,clear sky
164,Atar,MR,20.5169,-13.0499,96.35,13,1,9.06,clear sky
165,Sitka,US,57.0531,-135.33,46.29,66,20,10.36,few clouds
166,Beipiao,CN,41.7919,120.7792,49.37,53,1,4.52,clear sky
167,Carnarvon,AU,-24.8667,113.6333,71.67,78,90,18.41,overcast clouds
168,Manaure,CO,11.7751,-72.4445,82.63,74,19,17.27,few clouds
169,Yar-Sale,RU,66.8333,70.8333,27.82,75,77,23.85,broken clouds
170,Lorengau,PG,-2.0226,147.2712,82.17,76,96,7.36,overcast clouds
171,Lanxi,CN,29.2195,119.477,57.29,88,92,1.59,overcast clouds
172,Chokurdakh,RU,70.6333,147.9167,-16.19,100,67,3.8,broken clouds
173,Moundou,TD,8.5667,16.0833,92.91,46,36,2.71,scattered clouds
174,Trairi,BR,-3.2778,-39.2689,85.08,61,100,14.58,overcast clouds
175,Half Moon Bay,US,37.4636,-122.4286,62.02,95,90,8.01,mist
176,Nouadhibou,MR,20.931,-17.0347,75.18,57,0,17.27,clear sky
177,Rangpur,BD,25.75,89.25,76.87,76,3,3.42,clear sky
178,Geraldton,AU,-28.7667,114.6,66.61,77,90,17.27,overcast clouds
179,Dwarka,IN,22.2394,68.9678,82.67,60,0,11.68,clear sky
180,Buta,CD,2.7858,24.73,89.24,53,75,2.53,broken clouds
181,Pandavapura,IN,12.5006,76.6733,84.47,81,63,3.98,broken clouds
182,Shimoda,JP,34.6667,138.95,61.72,66,97,6.46,overcast clouds
183,Sobolevo,RU,54.4299,31.8996,38.66,66,92,13.82,overcast clouds
184,Port Alfred,ZA,-33.5906,26.891,63.79,62,86,10.87,overcast clouds
185,Honningsvag,NO,70.9821,25.9704,37.35,60,91,8.72,overcast clouds
186,Provideniya,RU,64.3833,-173.3,21.24,81,90,8.88,overcast clouds
187,Tasiilaq,GL,65.6145,-37.6368,32.16,93,100,21.5,snow
188,Buin,CL,-33.7333,-70.75,50.32,32,1,1.88,clear sky
189,Luwingu,ZM,-10.2621,29.9271,95.85,16,66,1.34,broken clouds
190,Vostok,RU,46.4856,135.8833,33.6,75,0,5.61,clear sky
191,Lavrentiya,RU,65.5833,-171.0,22.78,84,100,10.2,overcast clouds
192,Codrington,AU,-38.2667,141.9667,47.84,67,69,11.45,broken clouds
193,Dunedin,NZ,-45.8742,170.5036,56.8,90,70,11.01,broken clouds
194,Makakilo City,US,21.3469,-158.0858,75.56,68,1,0.0,clear sky
195,Svetlogorsk,BY,52.6333,29.7333,41.04,58,91,13.15,overcast clouds
196,Saint-Philippe,RE,-21.3585,55.7679,80.47,70,14,10.6,few clouds
197,Rawson,AR,-43.3002,-65.1023,57.54,30,33,21.07,scattered clouds
198,Yuci,CN,37.6803,112.7319,51.55,66,2,4.47,clear sky
199,Fernandina Beach,US,30.6697,-81.4626,73.94,86,1,0.0,clear sky
200,Airai,TL,-8.9266,125.4092,64.83,87,79,1.92,broken clouds
201,Kamena Vourla,GR,38.7784,22.7857,68.0,68,93,9.35,overcast clouds
202,Haines Junction,CA,60.7522,-137.5108,21.15,93,33,1.14,scattered clouds
